"year","q","y","p","pb","pcorn","pf","qprod","lexpts","popgro"
1950,14.3000001907349,7863,2.88382005691528,1.29461002349854,2.48132991790771,,1826.61572265625,-0.17183880507946,
1951,15.1000003814697,7953,2.80384993553162,1.40384995937347,2.77308011054993,,1975.67749023438,-0.16484260559082,1.71609997749329
1952,15.3000001907349,8071,2.75849008560181,1.36603999137878,2.69057011604309,,1981.3759765625,-0.192258805036545,1.728600025177
1953,15.1999998092651,8319,2.67040991783142,1.06742000579834,2.3483099937439,,2052.74487304688,-0.166813597083092,1.66349995136261
1954,15.8000001907349,8276,2.39404988288879,1.01858997344971,2.3568799495697,,2154.0654296875,-0.1749047935009,1.77110004425049
1955,14.6999998092651,8675,2.5,1.01119005680084,2.09328007698059,,2055.66357421875,-0.167104199528694,1.77600002288818
1956,16.7999992370605,8930,2.16176009178162,0.981620013713837,2.12132000923157,,2426.82421875,-0.152318701148033,1.78250002861023
1957,17.6000003814697,8988,2.03914999961853,1.02135002613068,1.83630001544952,,2534.46826171875,-0.173424303531647,1.81490004062653
1958,19.2999992370605,8922,1.95848000049591,1.15570998191834,1.73355996608734,,2880.33349609375,-0.154309004545212,1.6739000082016
1959,19.7999992370605,9167,1.77320003509521,1.18212997913361,1.67009997367859,,3009.81103515625,-0.152611494064331,1.68369996547699
1960,19.2000007629395,9210,1.77026998996735,1.13176000118256,1.55404996871948,1.74100005626678,3011.537109375,-0.141382098197937,2.03189992904663
1961,20.6000003814697,9361,1.58527994155884,1.10368001461029,1.50836002826691,1.73471999168396,3435.8095703125,-0.0965382009744644,1.67149996757507
1962,20.6000003814697,9666,1.65562999248505,1.13244998455048,1.48344004154205,1.72487998008728,3472.681640625,-0.10124360024929,1.54990005493164
1963,21.1000003814697,9886,1.61110997200012,1.1045800447464,1.62744998931885,1.66587996482849,3661.58374023438,-0.0866485983133316,1.44959998130798
1964,21.2999992370605,10456,1.55483996868134,1.05806005001068,1.60968005657196,1.63718998432159,3783.02221679688,-0.0773456022143364,1.39869999885559
1965,22.8999996185303,10965,1.58095002174377,1.09205996990204,1.64444005489349,1.61828005313873,4080.3056640625,-0.0866284966468811,1.25800001621246
1966,24.5,11417,1.62653994560242,1.11728000640869,1.68210005760193,1.61980998516083,4473.33349609375,-0.0737517029047012,1.16159999370575
1967,25.1000003814697,11776,1.46107995510101,1.08982002735138,1.54789996147156,1.55294001102448,4553.3740234375,-0.0911006033420563,1.09479999542236
