"black","educ","exper","faminc","female","metro","midwest","south","wage","west"
0,13,45,0,1,1,0,0,44.44,1
0,14,25,45351,1,1,1,0,16,0
0,18,27,91946,1,1,0,0,15.38,0
0,13,42,48370,0,1,1,0,13.54,0
0,13,41,10000,1,1,0,0,25,1
0,16,26,151308,1,1,0,0,24.05,0
0,16,11,110461,1,1,0,1,40.95,0
0,18,15,0,1,1,1,0,26.45,0
0,21,32,67084,0,1,1,0,30.76,0
0,14,12,14000,0,0,0,0,34.57,1
0,18,8,0,1,1,0,1,20.67,0
0,12,40,25000,0,1,0,0,21.5,0
0,12,43,0,0,1,1,0,11.77,0
0,12,23,0,1,1,1,0,24.35,0
0,16,19,50808,0,1,0,1,55,0
0,16,33,63169,0,1,0,0,11,1
0,16,20,162,0,1,1,0,57.7,0
0,16,30,134370,0,1,0,1,58,0
0,20,0,0,1,1,0,0,5.75,0
0,14,5,77280,1,1,0,1,11.5,0
0,12,37,80337,1,1,0,0,33.65,0
0,12,32,23472,1,1,1,0,10.5,0
0,14,5,18200,1,1,0,0,14.5,1
0,12,5,86400,1,1,0,0,8.25,1
0,12,20,0,1,1,1,0,8.65,0
0,12,7,0,0,1,0,0,13,1
0,8,41,0,0,0,1,0,17,0
0,12,32,30669,1,0,1,0,16.33,0
0,12,24,0,1,1,0,1,7.2,0
0,14,20,0,0,1,0,1,10,0
0,18,36,49400,1,0,0,1,60.83,0
1,16,7,20400,0,1,0,1,17.8,0
0,12,40,50000,0,1,0,1,30.38,0
0,18,29,2395,1,1,0,0,12.5,1
0,18,3,0,1,1,0,0,49.5,0
0,18,13,0,1,1,1,0,23.08,0
1,14,28,0,1,1,0,0,28.95,1
0,13,10,17544,0,1,0,0,9.2,1
0,12,42,0,0,1,0,0,29,0
0,12,37,50169,1,1,0,0,15,0
0,12,49,9000,0,1,0,0,14.7,1
0,16,20,10000,1,1,1,0,23.66,0
0,12,46,45993,1,0,1,0,8,0
0,12,43,83258,0,0,1,0,13.66,0
0,12,47,24019,1,1,0,0,15,1
0,12,47,51475,1,1,0,0,10.5,0
0,12,26,19906,0,0,0,0,7.75,1
1,13,21,9904,1,1,0,1,11.64,0
0,13,33,95000,0,1,1,0,37.03,0
0,13,6,40002,0,0,0,0,9.15,0
0,12,36,0,0,1,0,0,17,1
0,12,39,0,0,0,0,1,15.42,0
0,12,25,15100,0,1,1,0,43.28,0
0,16,22,530,1,1,0,0,19.23,0
0,13,34,5000,1,1,0,1,16,0
0,16,16,25000,0,1,0,0,31.92,0
0,16,4,30000,1,1,0,0,30,1
0,12,13,3090,0,1,0,0,9.5,1
