country,isocode,year,currency,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
Aruba,ABW,2010,Aruban Guilder,3971.60205078125,3767.7861328125,0.10166899859905243,0.04756443202495575,NA,NA,3023.62744140625,4612.80517578125,3957.928955078125,3818.94580078125,31125.853515625,4.7369705862365663e-4,NA,NA,3444.005615234375,3059.3486328125,4581.318359375,31146.892578125,0.9794370532035828,NA,NA,0.6451061367988586,0.0412614531815052,0.03528391942381859,1.7899999618530273,0.6926823854446411,0.603978157043457,0.6259588003158569,extrapolated,benchmark,market,no,regular,NA,NA,0.48741278052330017,0.4161299169063568,0.3043312132358551,0.5456328392028809,-0.75327301025390625,-2.3369945120066404e-4,0.7764312028884888,0.4352063238620758,0.5585513710975647,0.7002871632575989,0.6445525288581848,0.3584066927433014,0.28995344042778015
Angola,AGO,2010,Kwanza,126393.3203125,139946.859375,23.369131088256836,11.950042724609375,NA,1.4171329736709595,60801.8671875,102422.203125,126388.7890625,137703.15625,622902.625,0.022773699834942818,0.3003388047218323,0.21530120074748993,170654.453125,66886.9609375,114185.890625,673736.8125,1.06699800491333,0.9428306818008423,0.8564670085906982,0.30043232440948486,0.05059286952018738,0.052201032638549805,91.90572357177734,0.7282626032829285,0.6630293726921082,0.6085516810417175,interpolated,benchmark,market,no,regular,NA,45.55555725097656,0.29587283730506897,0.30224671959877014,0.14567016065120697,0.6530864834785461,-0.17291517555713654,-0.22396108508110046,0.7362885475158691,0.5677321553230286,0.7119609117507935,0.562678873538971,0.669628381729126,0.3852545917034149,0.41675302386283875
Argentina,ARG,2010,Argentine Peso,661334.3125,653054.75,41.2238883972168,18.427982330322266,1751.7655029296875,2.830078363418579,532428.4375,639856.3125,658943.5,651882.75,1736236.875,0.026707518845796585,0.7955514788627625,0.7526032328605652,669464.5625,538039.375,642832.375,1737470.25,0.948894202709198,0.9861029386520386,0.9520183205604553,0.44017282128334045,0.18890780210494995,0.03498838469386101,3.8962950706481934,0.6359949707984924,0.6472291350364685,0.6542394757270813,extrapolated,benchmark,market,no,regular,NA,86.66666412353516,0.6988180875778198,0.1647963523864746,0.11793676763772964,0.14718540012836456,-0.13098500669002533,0.0022483919747173786,0.6013652682304382,0.7029075622558594,0.8411883115768433,0.7106713652610779,0.6651182174682617,0.5688413977622986,1.447331190109253
Armenia,ARM,2010,Armenian Dram,22165.25,23659.970703125,2.8773109912872314,1.1600619554519653,NA,3.111227512359619,24259.78125,27455.875,22002.771484375,23691.32421875,45833.3828125,6.983079947531223e-4,0.6412992477416992,0.7162943482398987,25105.318359375,26133.09375,29540.037109375,44099.625,0.9495329856872559,0.9752123951911926,1.0143591165542603,0.5695514678955078,0.06432125717401505,0.029522733762860298,373.66046142578125,0.3745745122432709,0.4488242566585541,0.416835218667984,interpolated,benchmark,market,no,regular,NA,92.22222137451172,0.8550159335136414,0.1349056512117386,0.16897842288017273,0.06090830639004707,-0.2525014877319336,0.03269317373633385,0.39401525259017944,1.0124130249023438,0.2762060761451721,0.7009187936782837,0.6321811676025391,0.9334719181060791,0.9855284690856934
Australia,AUS,2010,Australian Dollar,952407.0625,992193.25,22.12006378173828,11.10388469696045,1769.3094482421875,3.4289608001708984,691723.4375,940977.9375,950174.5625,992470.125,3261040,0.06886216998100281,0.8970444202423096,0.8197109699249268,1006276.875,702893.375,943454.3125,3233727.75,0.9553642272949219,0.9931418895721436,0.9791032075881958,0.5756356120109558,0.057889025658369064,0.037031710147857666,1.09015953540802,1.3618779182434082,1.36528480052948,1.3071011304855347,interpolated,benchmark,market,no,regular,NA,NA,0.5437920689582825,0.251145601272583,0.15317946672439575,0.3139597177505493,-0.25790801644325256,-0.004168820567429066,1.317426323890686,1.3747392892837524,1.51968252658844,0.6633757948875427,0.7373674511909485,1.4580628871917725,1.2942736148834229
Austria,AUT,2010,Euro,362269.9375,340517.21875,8.40994930267334,4.096951007843018,1665.8438720703125,3.282888174057007,257331.578125,349187.78125,361469.40625,345392.78125,1624614.75,0.02911677025258541,0.8411509990692139,0.8196048736572266,344681.09375,261908.328125,359668.28125,1710973.375,0.9821358919143677,0.9931042790412903,0.9940715432167053,0.5772202610969543,0.05994049832224846,0.04175687953829765,0.7550449371337891,1.1268688440322876,1.0841658115386963,1.134629249572754,benchmark,benchmark,market,no,regular,NA,NA,0.5745068192481995,0.2659471035003662,0.17053359746932983,0.5745723247528076,-0.634109616279602,0.048549797385931015,1.0566425323486328,0.9645348191261292,1.3634523153305054,0.7300565242767334,0.68758624792099,1.0089956521987915,0.92125403881073
Azerbaijan,AZE,2010,Azerbaijanian Manat,122141.171875,116944.1484375,9.03245735168457,4.37747859954834,NA,NA,70892.3359375,83076.96875,121629.09375,115486.6796875,89873.8203125,0.0029850017745047808,NA,NA,151705.875,83510.171875,91661.4140625,85490.6171875,0.9322269558906555,NA,NA,0.2314208745956421,0.2852214574813843,0.06918210536241531,0.802649974822998,0.3749639391899109,0.434978187084198,0.4581134617328644,interpolated,benchmark,market,no,regular,NA,78.888885498046875,0.47797691822052,0.10550683736801147,0.13588036596775055,0.3254404067993164,-0.08426516503095627,0.03946062922477722,0.3772672712802887,0.784151554107666,0.3668616712093353,0.5661558508872986,0.6778804659843445,0.7476825714111328,2.205414295196533
Burundi,BDI,2010,Burundi Franc,5984.369140625,6412.33642578125,8.766929626464844,3.8269999027252197,NA,1.297952651977539,6410.39990234375,7117.05859375,5928.52978515625,6387.7138671875,11557.3232421875,4.1967967990785837e-4,0.1771003007888794,0.19017751514911652,6757.375,6551.95703125,7239.62353515625,11449.6923828125,1.0362483263015747,0.970725417137146,0.9292486310005188,0.6062182188034058,0.03833886608481407,0.03541412577033043,1230.748291015625,0.32784000039100647,0.34277263283729553,0.3181322515010834,interpolated,benchmark,market,no,lowcapital,NA,54.44444274902344,0.7525191903114319,0.11062779277563095,0.25103235244750977,0.03980104625225067,-0.15398159623146057,1.1994961823802441e-6,0.3618282079696655,0.47823262214660645,0.22595365345478058,0.7760337591171265,0.6147831082344055,0.34734341502189636,0.3086967468261719
Belgium,BEL,2010,Euro,453290.78125,417618.59375,10.938738822937012,4.495319843292236,1545.8480224609375,3.092796802520752,312455.90625,444219.9375,452347.46875,428140.28125,2350439.75,0.039915043860673904,0.9512012600898743,0.951194167137146,416969.53125,319981.03125,454064.65625,2344614,0.9831247925758362,1.0025321245193481,0.9990419149398804,0.6202191114425659,0.057372406125068665,0.04180692881345749,0.7550449371337891,1.1685903072357178,1.0689747333526611,1.1294150352478027,benchmark,benchmark,market,no,regular,NA,NA,0.5350238084793091,0.30775904655456543,0.19477418065071106,1.2052685022354126,-1.2428255081176758,-1.203761667083837e-16,1.0967788696289062,0.832753598690033,1.3658487796783447,0.7163717150688171,0.6783958077430725,0.8015694618225098,0.7448646426200867
Benin,BEN,2010,CFA Franc BCEAO,16436.986328125,17662.548828125,9.199258804321289,3.631999969482422,NA,1.5562914609909058,15336.810546875,18539.166015625,16345.984375,17669.580078125,54102.453125,9.01870196685195e-4,0.3216191828250885,0.32523006200790405,17415.18359375,15238.32421875,18411.57421875,54424.74609375,0.9648011326789856,1.01145339012146,1.0154534578323364,0.6171550154685974,0.07048414647579193,0.04329641908407211,495.2770080566406,0.41032615303993225,0.4264200031757355,0.3944776654243469,interpolated,benchmark,market,no,regular,NA,55.55555725097656,0.68064117431640625,0.18123546242713928,0.1873370110988617,0.042008038610219955,-0.186545729637146,0.09532403945922852,0.4255940914154053,0.5034971833229065,0.35485389828681946,0.7192885875701904,0.6472790241241455,0.38316404819488525,0.47903671860694885
