t,month,generation_gwh,emissions_so2,emissions_nox,n_plants,n_retirements,cumulative_retirements,i_cair,i_csapr
1,1/1/2005,244990.7113,893066.597,386514.797,2963,0,0,0,0
2,2/1/2005,210243.1408,779573.204,331994.003,2649,0,0,0,0
3,3/1/2005,220979.4014,846289.072,352709.43,2755,0,0,0,0
4,4/1/2005,197315.6636,726704.406,292892.244,2892,4,4,0,0
5,5/1/2005,213832.2989,720495.474,219919.11,3396,7,11,0,0
6,6/1/2005,261433.9569,873953.795,260705.477,3878,9,20,0,0
7,7/1/2005,297113.4324,966269.969,286936.258,3999,1,21,0,0
8,8/1/2005,301504.9225,990836.031,296597.061,3993,1,22,0,0
9,9/1/2005,256406.2139,892475.785,259563.095,3743,2,24,0,0
10,10/1/2005,224355.4111,832881.404,333760.252,2906,2,26,0,0
11,11/1/2005,212227.3177,786834.492,327186.406,2790,0,26,0,0
12,12/1/2005,241537.6868,916196.464,378824.99,2965,4,30,0,0
13,1/1/2006,248502.8225,793358.998,345492.973,2611,1,31,0,0
14,2/1/2006,235566.8214,770261.806,329520.257,2793,0,31,0,0
15,3/1/2006,256637.9223,784943.111,331262.787,2749,0,31,0,0
16,4/1/2006,232126.0286,690018.015,278007.473,2891,0,31,0,0
17,5/1/2006,249902.9508,735566.789,216733.448,3684,7,38,0,0
18,6/1/2006,278506.8331,802092.725,238259.711,3767,1,39,0,0
19,7/1/2006,334165.8138,914260.768,274436.071,4090,2,41,0,0
20,8/1/2006,327687.3048,923700.301,276552.94,4110,0,41,0,0
21,9/1/2006,264696.553,724024.02,223596.154,3418,1,42,0,0
22,10/1/2006,262740.2427,745168.913,316272.784,2977,0,42,0,0
23,11/1/2006,245441.2004,736356.57,317836.134,2885,1,43,0,0
24,12/1/2006,265259.4103,777449.694,344279.793,2939,9,52,0,0
25,1/1/2007,271398.4912,791456.656,347629.41,2972,0,52,0,0
26,2/1/2007,261782.0342,780325.529,333110.725,3018,4,56,0,0
27,3/1/2007,241131.0665,735508.108,314360.537,2898,3,59,0,0
28,4/1/2007,240276.599,675011.155,270107.519,2992,2,61,0,0
29,5/1/2007,255002.2874,699587.255,213015.489,3640,8,69,0,0
30,6/1/2007,284940.1992,763526.266,234562.55,3922,6,75,0,0
31,7/1/2007,314082.4201,813468.974,250745.35,3958,4,79,0,0
32,8/1/2007,337477.5644,853642.833,269239.449,4161,4,83,0,0
33,9/1/2007,278785.2393,734216.618,228253.926,3872,4,87,0,0
34,10/1/2007,272778.2835,704019.572,297445.351,3300,10,97,0,0
35,11/1/2007,250328.181,673641.354,289494.784,2960,2,99,0,0
36,12/1/2007,276161.8065,713434.37,316917.26,3075,4,103,0,0
37,1/1/2008,291039.4727,753071.436,334428.271,3609,1,104,0,0
38,2/1/2008,264467.3714,682877.246,303711.306,3390,3,107,0,0
39,3/1/2008,257244.7312,658865.439,296368.489,3262,4,111,0,0
40,4/1/2008,240798.833,587837.389,257981.018,3351,9,120,0,0
41,5/1/2008,238234.1123,588309.732,203240.5,3684,1,121,0,0
42,6/1/2008,283897.9,671957.412,226688.881,4250,0,121,0,0
43,7/1/2008,309951.0099,719656.05,246280.889,4218,0,121,0,0
44,8/1/2008,301521.9029,685582.079,235823.342,4208,1,122,0,0
45,9/1/2008,264903.9207,595621.617,209067.915,4004,9,131,0,0
46,10/1/2008,242897.8365,532257.827,255441.09,3244,7,138,0,0
47,11/1/2008,241633.0489,544000.086,256192.235,3300,0,138,0,0
48,12/1/2008,266972.6381,600739.011,273030.039,3494,5,143,0,0
49,1/1/2009,246602.8327,630986.226,215041.614,3596,0,143,0,0
50,2/1/2009,207357.3805,509325.521,167394.829,3372,0,143,0,0
51,3/1/2009,207433.7613,476322.107,161783.957,3419,2,145,0,0
52,4/1/2009,191004.3026,447671.313,142875.196,3337,1,146,0,0
53,5/1/2009,205270.6755,448052.672,153279.255,3626,3,149,0,0
54,6/1/2009,237532.2877,503483.872,171590.683,4100,4,153,0,0
55,7/1/2009,263393.2356,523672.344,186642.104,3944,0,153,0,0
56,8/1/2009,275796.5709,551680.387,193824.558,4152,1,154,0,0
57,9/1/2009,230875.2845,420906.283,160331.866,3776,1,155,0,0
58,10/1/2009,214161.5376,421555.723,162645.15,3273,4,159,0,0
59,11/1/2009,200892.2047,390005.687,157140.021,3090,0,159,0,0
60,12/1/2009,242122.7051,492608.539,194072.507,3425,4,163,0,0
61,1/1/2010,253885.0831,510295.285,207977.85,3551,1,164,1,0
62,2/1/2010,223620.2282,443958.974,179309.244,3217,0,164,1,0
63,3/1/2010,211779.4357,406251.995,167989.195,3198,4,168,1,0
64,4/1/2010,193647.0164,345253.06,143995.847,3284,4,172,1,0
65,5/1/2010,223036.6542,386399.737,165356.867,3789,1,173,1,0
66,6/1/2010,263597.2341,480799.493,194447.829,4159,1,174,1,0
67,7/1/2010,300861.4285,524890.902,215256.078,4341,2,176,1,0
68,8/1/2010,304523.6279,512930.618,213480.17,4317,2,178,1,0
69,9/1/2010,243899.9869,405584.611,172846.308,3990,9,187,1,0
70,10/1/2010,210150.9622,347401.153,146419.467,3222,0,187,1,0
71,11/1/2010,205528.8678,351999.059,151131.676,3195,9,196,1,0
72,12/1/2010,248769.9172,452895.076,194091.628,3613,15,211,1,0
73,1/1/2011,250455.1996,476822.748,198220.992,3514,0,211,1,0
74,2/1/2011,207894.6852,383445.075,161963.979,3262,2,213,1,0
75,3/1/2011,204676.6853,354484.713,156095.311,3201,9,222,1,0
76,4/1/2011,196556.1337,325155.434,145698.036,3363,1,223,1,0
77,5/1/2011,217242.0157,357057.927,158144.977,3948,3,226,1,0
78,6/1/2011,254454.1819,426241.89,183526.568,4275,1,227,1,0
79,7/1/2011,302693.9232,492328.441,210686.207,4351,0,227,1,0
80,8/1/2011,295507.1232,464710.044,202112.217,4302,0,227,1,0
81,9/1/2011,235796.0755,342237.859,160867.283,3934,4,231,1,0
82,10/1/2011,207107.1503,305021.114,146978.456,3170,10,241,1,0
83,11/1/2011,198117.9699,313894.419,145624.846,3175,4,245,1,0
84,12/1/2011,220917.6441,304688.119,153783.182,3303,19,264,1,0
85,1/1/2012,221935.0503,287425.264,144979.403,3145,11,275,1,0
86,2/1/2012,205487.6379,250156.24,131853.87,3015,5,280,1,0
87,3/1/2012,198267.9983,234598.441,121840.98,3196,5,285,1,0
88,4/1/2012,191228.5741,219533.349,112908.477,3343,2,287,1,0
89,5/1/2012,226267.5056,263170.547,139147.666,3966,3,290,1,0
90,6/1/2012,250107.2484,300636.863,154979.384,4209,9,299,1,0
91,7/1/2012,303251.7939,382514.686,193244.2,4289,0,299,1,0
92,8/1/2012,287248.5027,338543.388,177991.892,4188,3,302,1,0
93,9/1/2012,236169.5613,266067.702,145629.955,3888,29,331,1,0
