year,aus_gdp,aus_gwth,aus_share,aus_tax,ca_gdp,ca_gwth,ca_share,ca_tax,nz_gdp,nz_gwth,nz_share,nz_tax,us_gdp,us_gwth,us_share,us_tax
1921,4910.8,3.038755,11.63,11.1,3357,-13.06407,17.6,4.2,5128.1,-8.282444,15.47,10.5,5322.7,-4.135091,15.47,12
1922,5063.7,-0.7484465,10.68,11,3793.1,12.99178,15.17,4.2,4841.1,-2.756401,14.43,8.2,5539.8,4.078921,16.29,10
1923,5192,2.614185,11.76,10.7,3976,4.819539,14.38,4.2,5144.5,4.619075,14.99,6.8,6164.2,11.27027,14.99,10
1924,5417.4,3.22001,11.67,9.3,3977,0.0267036,14.53,3.2,5142.9,0.7000252,14.92,5.8,6232.6,1.108849,16.32,11
1925,5553.1,-1.045177,11.31,9.1,4340.3,9.133882,13.18,2,5291.6,0.2855066,15.16,5.7,6282.4,0.800125,17.6,6
1926,5572.6,-2.737084,11.07,9.4,4497.1,3.612248,14.01,1.8,4904.8,-6.652331,14.87,5.6,6602.4,5.093951,18.01,7
1927,5543.8,-2.810853,11.68,8.2,4847,7.781518,14.69,1.6,4682.7,-1.073303,14.64,6.9,6576.5,-0.3929344,18.68,7
1928,5451.8,-2.903902,11.85,8.5,5171.6,6.696781,15.32,2.4,5140.9,7.795072,15.62,7.1,6569.3,-0.1087737,19.6,6
1929,5263,-4.154177,10.67,8.5,5065.4,-2.052431,15.64,2.4,5262.2,0.2996396,15.05,6.9,6898.7,5.013844,18.42,7
1930,4708.3,-5.681445,9.75,10.3,4810.6,-5.030977,16.1,1.6,4960.1,-6.706394,14.55,6.8,6212.7,-9.944008,16.42,4
1931,4353.6,-1.334961,9.34,11.7,4003.7,-16.77361,16.6,3.2,4475.1,-8.28133,14.66,7.5,5691.4,-8.391602,15.27,3
1932,4563.8,3.925067,9.27,10,3671.5,-8.298338,17.67,4,4327.2,-1.097854,14.78,8.2,4908.4,-13.75769,15.48,9
1933,4842.4,3.94124,10.32,10.4,3370.4,-8.199658,18.03,4,4576,5.343174,14.89,8.9,4776.9,-2.678087,15.77,9
1934,5059.9,3.18793,10.36,10.5,3691,9.512903,17.5,4,4767.8,4.147121,14.37,7.3,5113.6,7.048316,15.87,9
1935,5317.6,3.654938,10.54,11.9,3950.6,7.033144,16.99,4,4959.4,7.553608,14.3,8.1,5466.8,6.907655,15.63,10
1936,5515.8,4.400882,11.28,12.5,4124.2,4.39376,17.45,4,5839.8,14.01225,14.66,12.8,6203.9,13.48212,17.64,11
1937,5745.7,2.261486,9.83,12.7,4473.4,8.467193,16.26,5,6101.6,4.851156,11.88,12.5,6430.1,3.646711,16.45,11
1938,5886.3,-0.4300542,10.39,9.2,4545.9,1.620667,18.41,5,6462.2,4.357966,10.68,12.4,6126.5,-4.722396,14.73,10
1939,5845.6,2.385059,10.73,22.9,4768.1,4.888391,16.88,6,6459.7,-0.6452865,11.3,16.7,6560.8,7.088704,15.39,10
1940,6166.1,7.847921,10.3,24.3,5368.2,12.58594,14.71,19,6300.4,-2.528474,10.79,21.6,7009.6,6.841967,15.73,11
1941,6788.2,10.3387,10.78,33.6,6050.8,12.71406,13.3,37,6128.8,0.4705832,10.4,24.18,8205.7,17.06288,15.01,33
1942,7505.5,6.398648,10.43,41.8,7033.4,16.2394,11.3,29,6761.5,8.210402,10.01,26.76,9741.1,18.71169,12.91,46
1943,7702.8,-0.9430717,10.45,42.7,7262.8,3.261345,10.72,58,6928,1.614483,9.62,29.34,11518.2,18.24296,11.48,49
1944,7362,-5.217005,9.03,41.3,7442.6,2.475679,10.01,58,6868,-0.4328803,9.23,31.92,12333.4,7.07819,10.54,53
1945,6916.9,-5.372213,8.44,35.5,7133,-4.159973,10.121,55.7,6928.3,1.50349,8.84,34.5,11708.6,-5.065915,11.07,53
1946,6594.9,-1.868726,9.51,28,6931.2,-2.827851,10.724,48.7,7161.3,4.952824,9.46,36.6,9196.5,-21.45512,11.76,50.4
