country,year,csumptn,cxid,gov,hours,inc,ln_y_c,r
Australia,1971,0.034861,1,0.07701,0.009732,0.071571,0.034583,0.010339
Australia,1972,0.024624,1,0.046415,0.000749,0.026396,0.036311,-0.009569
Australia,1973,0.035764,1,0.048815,0.003316,0.052433,0.052276,-0.022572
Australia,1974,0.034612,1,0.088044,-0.004495,0.077047,0.092473,-0.021371
Australia,1975,0.027978,1,0.142449,-0.016172,0.047383,0.111173,-0.066509
Australia,1976,0.025586,1,0.035979,-0.003523,3.70E-05,0.085946,-0.041108
Australia,1977,-0.002786,1,-0.020016,0.004366,-0.046329,0.041299,-0.021047
Australia,1978,0.021736,1,0.025898,-0.008631,0.01059,0.03033,0.018927
Australia,1979,0.013677,1,-0.003763,0.020198,-0.00207,0.014674,0.00694
Australia,1980,0.023892,1,0.048368,0.02049,0.028505,0.019169,0.018412
Australia,1981,0.033918,1,0.046041,0.01335,0.020535,0.00614,0.05424
Australia,1982,0.020981,1,0.018291,-0.013012,0.025596,0.01065,0.056053
Australia,1983,-0.002618,1,0.020128,-0.032136,-0.031833,-0.01908,0.021472
Australia,1984,0.031922,1,0.08373,0.032469,0.044662,-0.00681,0.08163
Australia,1985,0.039616,1,0.044768,0.019041,0.012036,-0.033697,0.092401
Australia,1986,0.005132,1,0.012695,0.026243,-0.008834,-0.047689,0.073672
Australia,1987,0.016085,1,-0.022806,0.026308,-0.013524,-0.077262,0.052594
Australia,1988,0.036517,1,-0.001136,0.044433,0.021058,-0.092288,0.055436
Australia,1989,0.036375,1,0.021983,0.036397,0.048273,-0.080873,0.100634
Australia,1990,0.015968,1,0.024102,0.012215,0.025447,-0.071586,0.072649
Australia,1991,0.013176,1,0.033609,-0.032702,-0.008664,-0.093377,0.070032
Australia,1992,0.032642,1,0.021566,-0.013111,0.039843,-0.086428,0.054799
Australia,1993,0.015216,1,0.015771,0.015035,0.020825,-0.080918,0.033386
Australia,1994,0.024196,1,0.011064,0.030799,0.027201,-0.077989,0.037617
Australia,1995,0.021271,1,0.005616,0.034917,0.006692,-0.092368,0.030877
Australia,1996,0.020593,1,0.028131,0.00542,0.034034,-0.079283,0.045392
Australia,1997,0.049243,1,0.037931,0.007701,0.030841,-0.096977,0.051454
Australia,1998,0.046348,1,0.04092,0.016297,0.017755,-0.124684,0.041482
Australia,1999,0.039796,1,0.024612,0.003797,0.045789,-0.118938,0.035462
Australia,2000,0.020636,1,0.044428,0.032766,0.022592,-0.117022,0.017023
Australia,2001,0.019762,1,0.007341,-0.009827,0.023515,-0.113349,0.005183
Australia,2002,0.033784,1,0.027432,0.013643,-0.004574,-0.151159,0.017435
Australia,2003,0.028342,1,0.038302,0.019133,0.030286,-0.14927,0.021251
Australia,2004,0.046252,1,0.045861,0.025886,0.053699,-0.142178,0.031347
Australia,2005,0.019857,1,0.044629,0.023056,0.039355,-0.12324,0.029754
Australia,2006,0.024497,1,0.041051,0.014887,0.03928,-0.108913,0.024498
Australia,2007,0.048324,1,0.043056,0.026851,0.054007,-0.103507,0.043351
Austria,1971,0.065179,2,0.067189,-0.010952,0.084335,0.032762,-0.003188
Austria,1972,0.056056,2,0.057381,-0.006136,0.039008,0.016487,-0.011885
Austria,1973,0.038614,2,0.080646,-0.007006,0.054941,0.032084,-0.005936
