date,g,u
4/1/1978,0.9,6.3
7/1/1978,1.4,6.3
10/1/1978,0.8,6.3
1/1/1979,2.8,6.3
4/1/1979,-1.6,6.3
7/1/1979,1,6.2
10/1/1979,1.9,6.2
1/1/1980,0.4,6
4/1/1980,0.3,6.2
7/1/1980,0.6,6.1
10/1/1980,1.7,5.9
1/1/1981,0.4,5.8
4/1/1981,1.5,5.5
7/1/1981,2.1,5.8
10/1/1981,-0.4,6
1/1/1982,-0.8,6.2
4/1/1982,1,6.6
7/1/1982,-0.7,7.1
10/1/1982,-1.6,8.8
1/1/1983,-1,9.6
4/1/1983,-0.2,10.2
7/1/1983,3.1,10.3
10/1/1983,1.4,9.7
1/1/1984,2.6,9.4
4/1/1984,0.9,9.1
7/1/1984,1.1,8.8
10/1/1984,0.7,8.6
1/1/1985,1.3,8.6
4/1/1985,2.3,8.5
7/1/1985,1.5,8.2
10/1/1985,-0.3,7.9
1/1/1986,0.6,7.9
4/1/1986,-0.2,7.8
7/1/1986,0.3,8.2
10/1/1986,1.7,8.4
1/1/1987,1,8.3
4/1/1987,1.6,8.2
7/1/1987,1.8,8
10/1/1987,1.9,7.9
1/1/1988,0.4,7.5
4/1/1988,0.3,7.6
7/1/1988,0.8,6.9
10/1/1988,1.4,6.7
1/1/1989,1.1,6.6
4/1/1989,2,6.1
7/1/1989,0.9,6.1
10/1/1989,-0.4,5.8
1/1/1990,0.9,6.2
4/1/1990,0.1,6.5
7/1/1990,-0.5,7.2
10/1/1990,0.6,7.9
1/1/1991,-1.4,8.7
4/1/1991,-0.2,9.6
7/1/1991,0.4,9.9
10/1/1991,0.2,10.2
1/1/1992,0.8,10.4
4/1/1992,0.7,10.7
7/1/1992,0.9,10.8
10/1/1992,2,11.1
1/1/1993,0.9,10.9
4/1/1993,0.5,10.9
7/1/1993,0.1,10.9
10/1/1993,1.9,10.8
1/1/1994,1.8,10.5
4/1/1994,1.1,9.9
7/1/1994,1,9.4
10/1/1994,0.5,9
1/1/1995,0.3,8.7
4/1/1995,0.7,8.4
7/1/1995,1.8,8.4
10/1/1995,0.4,8.4
1/1/1996,1.9,8.4
4/1/1996,0.2,8.4
7/1/1996,1.2,8.6
10/1/1996,0.7,8.6
1/1/1997,0.3,8.6
4/1/1997,3.1,8.5
7/1/1997,0.1,8.3
10/1/1997,1.5,8
1/1/1998,0.3,7.9
4/1/1998,1.5,7.7
7/1/1998,1.7,7.8
10/1/1998,1.4,7.4
1/1/1999,0.8,7.1
4/1/1999,0.6,6.9
7/1/1999,1,6.9
10/1/1999,1.2,6.6
1/1/2000,1.2,6.7
4/1/2000,0.6,6.3
7/1/2000,0,6
10/1/2000,-0.3,6.1
1/1/2001,1.1,6.4
4/1/2001,0.9,6.8
7/1/2001,1,6.9
10/1/2001,1.1,7
1/1/2002,0.8,6.6
4/1/2002,1.6,6.4
7/1/2002,0.4,6.3
10/1/2002,0.9,6.2
1/1/2003,0,6
4/1/2003,0.6,6
7/1/2003,1.6,5.9
10/1/2003,1.7,5.7
1/1/2004,0.8,5.5
4/1/2004,0.5,5.4
7/1/2004,0.9,5.5
10/1/2004,0.8,5.1
1/1/2005,0.8,5.1
4/1/2005,0.5,5
7/1/2005,1.2,5
10/1/2005,0.8,5
1/1/2006,0.2,5
4/1/2006,0.1,4.8
7/1/2006,1.2,4.7
10/1/2006,1.5,4.5
1/1/2007,1.5,4.5
4/1/2007,0.8,4.3
7/1/2007,0.9,4.3
10/1/2007,0.5,4.3
1/1/2008,1.2,4.1
4/1/2008,0.3,4.2
7/1/2008,0.8,4.2
10/1/2008,-0.7,4.5
1/1/2009,1.1,5.3
4/1/2009,0.5,5.7
7/1/2009,0.3,5.7
10/1/2009,0.7,5.5
1/1/2010,0.5,5.3
4/1/2010,0.6,5.3
7/1/2010,0.6,5.1
10/1/2010,1,5.1
1/1/2011,-0.2,5
4/1/2011,1.1,5
7/1/2011,1.2,5.2
10/1/2011,1,5.2
1/1/2012,1.1,5.2
4/1/2012,0.5,5.1
7/1/2012,0.6,5.3
10/1/2012,0.5,5.3
1/1/2013,0.2,5.5
4/1/2013,0.7,5.6
7/1/2013,0.5,5.7
10/1/2013,0.8,5.8
1/1/2014,0.9,5.9
4/1/2014,0.5,6
7/1/2014,0.4,6.2
10/1/2014,0.5,6.2
1/1/2015,0.9,6.2
4/1/2015,0.2,6
7/1/2015,1,6.2
10/1/2015,0.7,5.8
1/1/2016,1,5.8
4/1/2016,0.5,5.7
