"dateid01","du","inf","u"
1/1/1987,-0.0999999999999996,2,8.3
4/1/1987,-0.100000000000001,1.5,8.2
7/1/1987,-0.199999999999999,1.7,8
10/1/1987,-0.0999999999999996,1.7,7.9
1/1/1988,-0.4,1.7,7.5
4/1/1988,0.0999999999999996,1.9,7.6
7/1/1988,-0.699999999999999,1.8,6.9
10/1/1988,-0.2,2,6.7
1/1/1989,-0.100000000000001,1,6.6
4/1/1989,-0.5,2.5,6.1
7/1/1989,0,2.3,6.1
10/1/1989,-0.3,1.8,5.8
1/1/1990,0.4,1.8,6.2
4/1/1990,0.3,1.6,6.5
7/1/1990,0.7,0.7,7.2
10/1/1990,0.7,2.6,7.9
1/1/1991,0.799999999999999,-0.2,8.7
4/1/1991,0.9,0.2,9.6
7/1/1991,0.300000000000001,0.5,9.9
10/1/1991,0.299999999999999,1,10.2
1/1/1992,0.200000000000001,0,10.4
4/1/1992,0.299999999999999,-0.3,10.7
7/1/1992,0.100000000000001,0.2,10.8
10/1/1992,0.299999999999999,0.5,11.1
1/1/1993,-0.199999999999999,0.8,10.9
4/1/1993,0,0.3,10.9
7/1/1993,0,0.5,10.9
10/1/1993,-0.0999999999999996,0.2,10.8
1/1/1994,-0.300000000000001,0.5,10.5
4/1/1994,-0.6,0.7,9.9
7/1/1994,-0.5,0.6,9.4
10/1/1994,-0.4,0.8,9
1/1/1995,-0.300000000000001,1.6,8.7
4/1/1995,-0.299999999999999,1.4,8.4
7/1/1995,0,1.2,8.4
10/1/1995,0,0.8,8.4
1/1/1996,0,0.3,8.4
4/1/1996,0,0.8,8.4
7/1/1996,0.199999999999999,0.3,8.6
10/1/1996,0,0.1,8.6
1/1/1997,0,0.1,8.6
4/1/1997,-0.0999999999999996,-0.3,8.5
7/1/1997,-0.199999999999999,-0.4,8.3
10/1/1997,-0.300000000000001,0.3,8
1/1/1998,-0.0999999999999996,0.3,7.9
4/1/1998,-0.2,0.6,7.7
7/1/1998,0.0999999999999996,0.1,7.8
10/1/1998,-0.399999999999999,0.4,7.4
1/1/1999,-0.300000000000001,0,7.1
4/1/1999,-0.199999999999999,0.4,6.9
7/1/1999,0,0.9,6.9
10/1/1999,-0.300000000000001,0.6,6.6
1/1/2000,0.100000000000001,0.9,6.7
4/1/2000,-0.4,0.7,6.3
7/1/2000,-0.3,0.85,6
10/1/2000,0.0999999999999996,0.3,6.1
1/1/2001,0.300000000000001,1.1,6.4
4/1/2001,0.399999999999999,0.8,6.8
7/1/2001,0.100000000000001,0.3,6.9
10/1/2001,0.0999999999999996,0.9,7
1/1/2002,-0.4,0.9,6.6
4/1/2002,-0.199999999999999,0.7,6.4
7/1/2002,-0.100000000000001,0.7,6.3
10/1/2002,-0.0999999999999996,0.6,6.2
1/1/2003,-0.2,1.3,6
4/1/2003,0,0,6
7/1/2003,-0.0999999999999996,0.6,5.9
10/1/2003,-0.2,0.5,5.7
1/1/2004,-0.2,0.9,5.5
4/1/2004,-0.0999999999999996,0.5,5.4
7/1/2004,0.0999999999999996,0.4,5.5
10/1/2004,-0.4,0.7,5.1
1/1/2005,0,0.7,5.1
4/1/2005,-0.0999999999999996,0.6,5
7/1/2005,0,1,5
10/1/2005,0,0.5,5
1/1/2006,0,0.8,5
4/1/2006,-0.2,1.7,4.8
7/1/2006,-0.0999999999999996,0.9,4.7
10/1/2006,-0.2,-0.1,4.5
1/1/2007,0,0,4.5
4/1/2007,-0.2,1.3,4.3
7/1/2007,0,0.7,4.3
10/1/2007,0,0.9,4.3
1/1/2008,-0.2,1.3,4.1
4/1/2008,0.100000000000001,1.4,4.2
7/1/2008,0,1.2,4.2
10/1/2008,0.3,-0.3,4.5
1/1/2009,0.8,0.1,5.3
4/1/2009,0.4,0.4,5.7
7/1/2009,0,1,5.7
10/1/2009,-0.2,0.5,5.5
1/1/2010,-0.2,1,5.3
4/1/2010,0,0.6,5.3
7/1/2010,-0.2,0.7,5.1
10/1/2010,0,0.4,5.1
1/1/2011,-0.0999999999999996,1.4,5
4/1/2011,0,0.9,5
7/1/2011,0.2,0.6,5.2
10/1/2011,0,0,5.2
1/1/2012,0,0.1,5.2
4/1/2012,-0.100000000000001,0.5,5.1
7/1/2012,0.2,1.4,5.3
10/1/2012,0,0.2,5.3
1/1/2013,0.2,0.4,5.5
4/1/2013,0.0999999999999996,0.4,5.6
7/1/2013,0.100000000000001,1.2,5.7
10/1/2013,0.0999999999999996,0.8,5.8
1/1/2014,0.100000000000001,0.6,5.9
4/1/2014,0.0999999999999996,0.5,6
7/1/2014,0.2,0.5,6.2
10/1/2014,0,0.2,6.2
1/1/2015,0,0.2,6.2
4/1/2015,-0.2,0.7,6
7/1/2015,0.2,0.5,6.2
10/1/2015,-0.4,0.4,5.8
1/1/2016,0,-0.2,5.8
